epoch,train_loss,train_accuracy,valid_loss,valid_accuracy
1,3.775107482862072,0.1564705882352941,2.002397431419009,0.2276190476190476
2,2.1744081238337927,0.21361344537815127,1.8384116767701648,0.26761904761904765
3,1.9626862410537336,0.2426890756302521,1.7387277662186396,0.2885714285714286
4,1.9038534381209302,0.25512605042016806,1.6591116564614432,0.3238095238095238
5,1.8257559632453597,0.28,1.6180028849556332,0.3323809523809524
6,1.800571294231575,0.29361344537815126,1.642622927256993,0.35428571428571426
7,1.7655678135607422,0.30806722689075633,1.5860554733730499,0.38476190476190475
8,1.714490290449447,0.333109243697479,1.511444437390282,0.38571428571428573
9,1.6954167093950159,0.3347899159663866,1.487092133703686,0.39714285714285713
10,1.6399708785129194,0.35478991596638654,1.4942172970090593,0.4228571428571429
11,1.6198153327493106,0.3564705882352941,1.4764133117312477,0.4228571428571429
12,1.5790397492977752,0.3842016806722689,1.4148080746332805,0.44857142857142857
13,1.5563996894820398,0.3833613445378151,1.4075749272391909,0.42857142857142855
14,1.537771244610057,0.38974789915966385,1.3807232443491617,0.44857142857142857
15,1.5221546119401435,0.4023529411764706,1.3323486895788283,0.4695238095238095
16,1.5023398310396852,0.4016806722689076,1.2968525718507313,0.48095238095238096
17,1.4838482466064582,0.4225210084033613,1.2935724228904362,0.5047619047619047
18,1.4517666104260614,0.43747899159663867,1.2839683469136556,0.5019047619047619
19,1.4267518564031905,0.43495798319327733,1.26782081308819,0.5123809523809524
20,1.4137753956658499,0.45277310924369746,1.2998987363633656,0.49238095238095236
21,1.3756530260037976,0.46605042016806725,1.2571669333321707,0.5114285714285715
22,1.3530087051071038,0.4749579831932773,1.203781150863284,0.5314285714285715
23,1.3401943082569026,0.4773109243697479,1.2132223015739805,0.5247619047619048
24,1.3292059096568773,0.47092436974789914,1.189885620389666,0.5419047619047619
25,1.3058235836429757,0.4890756302521008,1.1879364015942528,0.5314285714285715
26,1.3054185590423455,0.4942857142857143,1.1650512307030814,0.5457142857142857
27,1.2842770560849615,0.505546218487395,1.1713154143378848,0.5466666666666666
28,1.2822244453430176,0.5047058823529412,1.1587789467402867,0.5495238095238095
29,1.2809206372749906,0.4942857142857143,1.1582406391416278,0.5476190476190477
30,1.268640706879752,0.5094117647058823,1.1623212566829864,0.5476190476190477
