epoch,train_loss,train_accuracy,valid_loss,valid_accuracy
1,2.2649309813074705,0.15243697478991597,2.14066079503014,0.18761904761904763
2,2.1374949533799117,0.18756302521008403,2.0511896392277307,0.23333333333333334
3,2.0968344492070816,0.2008403361344538,2.039696521759033,0.21904761904761905
4,2.065983973511127,0.22436974789915967,1.9857528491247267,0.24571428571428572
5,2.0359223299667617,0.22621848739495798,1.9821566638492403,0.23333333333333334
6,2.0218604588708957,0.22453781512605042,1.9671752600442796,0.24761904761904763
7,1.9920986347038205,0.23714285714285716,1.9100614756629581,0.2714285714285714
8,1.9795185238974435,0.2415126050420168,1.8912148041952224,0.2780952380952381
9,1.9641182404606283,0.24067226890756302,1.8855360439845494,0.259047619047619
10,1.945803353165378,0.24823529411764705,1.8637296522231328,0.2838095238095238
11,1.929848812487947,0.2532773109243697,1.8814580031803676,0.2742857142857143
12,1.9198739474961737,0.2574789915966387,2.0666777143024264,0.2342857142857143
13,1.9215478124137686,0.26605042016806724,1.9087819156192598,0.2723809523809524
14,1.9010156922380463,0.26588235294117646,1.8443238131205242,0.2733333333333333
15,1.89149761752922,0.2712605042016807,1.8447499931426274,0.27714285714285714
16,1.8718354978080558,0.2707563025210084,1.781834058307466,0.3047619047619048
17,1.8431522238755427,0.2803361344537815,1.9078680592491513,0.24
18,1.8347413580758232,0.2722689075630252,1.77605393409729,0.2876190476190476
19,1.8080511417308776,0.28436974789915964,1.7689527052924747,0.2895238095238095
20,1.7921510116593176,0.29394957983193276,1.7409471382413593,0.29428571428571426
21,1.7801965060754985,0.285546218487395,1.7365763902664184,0.31238095238095237
22,1.7666205013098837,0.2850420168067227,1.752934039433797,0.31238095238095237
23,1.7520891479684526,0.2969747899159664,1.708681462378729,0.3238095238095238
24,1.7550558813880472,0.28689075630252103,1.6999072458630518,0.31238095238095237
25,1.7428667374218212,0.30168067226890755,1.6968806048801968,0.30666666666666664
26,1.7339316304791876,0.2988235294117647,1.6790407148996989,0.32
27,1.7259214148401212,0.30453781512605044,1.6952612881433395,0.31523809523809526
28,1.7386195064192058,0.2934453781512605,1.6787205078488305,0.32285714285714284
29,1.7266851866345445,0.3033613445378151,1.6801631055559432,0.32095238095238093
30,1.7250636755518554,0.30806722689075633,1.6829989689872378,0.3219047619047619
