epoch,train_loss,train_accuracy,valid_loss,valid_accuracy
1,2.1829947090950332,0.16369747899159665,1.9671421577816919,0.19714285714285715
2,1.9115602980541582,0.22941176470588234,1.7298167081106277,0.2733333333333333
3,1.7994526829839754,0.26319327731092435,1.7489211529777164,0.2723809523809524
4,1.722821267713018,0.30403361344537816,1.5904090563456217,0.36666666666666664
5,1.6982027335527565,0.3028571428571429,1.5558657550811767,0.3647619047619048
6,1.6272612076847492,0.32638655462184873,1.5616845882506598,0.36095238095238097
7,1.5957654447715823,0.3581512605042017,1.5097428212847028,0.40190476190476193
8,1.5606942366752303,0.36436974789915966,1.43561080069769,0.44761904761904764
9,1.5376780682651936,0.38201680672268906,1.4547498444148472,0.43047619047619046
10,1.4855477956563485,0.41294117647058826,1.3577094520841326,0.4876190476190476
11,1.4421140788182492,0.43126050420168066,1.3450687453860328,0.49333333333333335
12,1.392444071048448,0.45949579831932774,1.3326386295046124,0.49238095238095236
13,1.35439304852686,0.47361344537815125,1.2579210481189547,0.5342857142857143
14,1.3013949166225787,0.4976470588235294,1.2405628815151397,0.5238095238095238
15,1.279072896212089,0.5015126050420168,1.20636357602619,0.5476190476190477
16,1.2292573867926078,0.5243697478991597,1.203071163041251,0.5695238095238095
17,1.1775229678835188,0.5532773109243697,1.1224853799456642,0.5971428571428572
18,1.1515346329152083,0.5682352941176471,1.1520478389376685,0.5647619047619048
19,1.1252501085024922,0.5791596638655462,1.099958458400908,0.5847619047619048
20,1.0953806240418378,0.5900840336134454,1.0867521435873848,0.6066666666666667
21,1.0650586179124206,0.6095798319327731,1.053038703827631,0.6304761904761905
22,1.0279073818391111,0.6119327731092437,1.0221589796883719,0.6314285714285715
23,1.0114959181056302,0.6300840336134453,1.0396843749000912,0.6209523809523809
24,0.9763156969607377,0.6478991596638656,0.9919177189327422,0.6447619047619048
25,0.95889924686496,0.6534453781512605,0.9834789544060116,0.6447619047619048
26,0.9517609587036261,0.648235294117647,0.9769931250526791,0.6533333333333333
27,0.9316389421855702,0.6527731092436975,0.9810306516147795,0.638095238095238
28,0.9124641692337869,0.6626890756302521,0.9750658661978585,0.6485714285714286
29,0.9190004936186206,0.6584873949579831,0.9732635947636196,0.6485714285714286
30,0.9252195282142703,0.6578151260504201,0.9724120903015137,0.6504761904761904
