epoch,train_loss,train_accuracy,valid_loss,valid_accuracy
1,1.949734478197178,0.23932773109243696,1.7094812079838344,0.30666666666666664
2,1.6626844607681788,0.31159663865546217,1.5853453652064005,0.3457142857142857
3,1.5862183697083416,0.34705882352941175,1.5469819409506662,0.32761904761904764
4,1.5538516859246903,0.36470588235294116,1.4681114189965385,0.4085714285714286
5,1.4901832784925189,0.3915966386554622,1.4154168982732864,0.42952380952380953
6,1.4271794041866015,0.42672268907563027,1.426188193957011,0.4247619047619048
7,1.3953117923976994,0.4495798319327731,1.3744504036222185,0.4523809523809524
8,1.3457245708112957,0.4616806722689076,1.314105551356361,0.4819047619047619
9,1.2864371970120598,0.4892436974789916,1.2726193600609188,0.4895238095238095
10,1.2606315000117325,0.4984873949579832,1.2583898153759185,0.520952380952381
11,1.2204995858569105,0.5210084033613446,1.1867833857309251,0.5380952380952381
12,1.19772675722587,0.5346218487394958,1.2199694960457939,0.5371428571428571
13,1.1536936088770378,0.5421848739495798,1.1258884386789232,0.5457142857142857
14,1.1358202299150097,0.5561344537815126,1.1020107019515264,0.5761904761904761
15,1.094765196928457,0.5742857142857143,1.0962988923844836,0.5723809523809524
16,1.0858571418794263,0.5766386554621848,1.0989984973271687,0.58
17,1.0527558820387897,0.5912605042016806,1.060683357602074,0.5866666666666667
18,1.015635176746785,0.6104201680672269,1.033759540376209,0.6180952380952381
19,1.0103274993936555,0.6107563025210084,1.018237088067191,0.6180952380952381
20,0.9705942149923629,0.6280672268907563,1.0196855392910185,0.6266666666666667
21,0.9473765797174277,0.6388235294117647,0.9859996709369477,0.6247619047619047
22,0.9355832043014655,0.6416806722689076,0.980968302318028,0.6352380952380953
23,0.9170411600986449,0.6448739495798319,0.9954961202258156,0.6419047619047619
24,0.9083286228700846,0.6554621848739496,0.986289221218654,0.6352380952380953
25,0.9023992811531579,0.6618487394957984,0.9855971265974499,0.6447619047619048
26,0.8820464486635032,0.6678991596638656,0.9714906474522181,0.6390476190476191
27,0.8711416335065826,0.6705882352941176,0.9826108982449486,0.638095238095238
28,0.8786716197318389,0.661344537815126,0.9698325066339402,0.6476190476190476
29,0.8685706624063123,0.6687394957983194,0.9667656557900565,0.6476190476190476
30,0.8594273603663725,0.6763025210084034,0.9745187014625186,0.6438095238095238
