epoch,train_loss,train_accuracy,valid_loss,valid_accuracy
1,1.9412706452457844,0.22470588235294117,1.6360334421339489,0.31333333333333335
2,1.6994193531885868,0.29764705882352943,1.6000509972799393,0.319047619047619
3,1.6271186942413074,0.33176470588235296,1.681725856236049,0.29904761904761906
4,1.6046387501323924,0.3556302521008403,1.5695523352850052,0.3657142857142857
5,1.5598627545252568,0.3776470588235294,1.4777730008534022,0.4123809523809524
6,1.4983940908688458,0.40302521008403364,1.4601989989053636,0.41523809523809524
7,1.4660187302917993,0.4189915966386555,1.4334534390767415,0.4228571428571429
8,1.4359112766810826,0.4361344537815126,1.32833518187205,0.47333333333333333
9,1.3754364764990927,0.4610084033613445,1.3712392691203525,0.45714285714285713
10,1.3460866920887924,0.46941176470588236,1.301099427541097,0.4866666666666667
11,1.3184849616459438,0.49361344537815127,1.22149212655567,0.5361904761904762
12,1.268375470978873,0.5164705882352941,1.199990140824091,0.5380952380952381
13,1.238088219867033,0.5305882352941177,1.2176739472434635,0.5485714285714286
14,1.212179051527456,0.5398319327731093,1.1439770360220047,0.5742857142857143
15,1.1700547048023768,0.5621848739495798,1.1242145295370192,0.5828571428571429
16,1.14007270207926,0.5692436974789916,1.1025105499085925,0.5980952380952381
17,1.1150929116802055,0.5842016806722689,1.1073622903369722,0.6028571428571429
18,1.0973780107097466,0.5944537815126051,1.0228478797276814,0.6238095238095238
19,1.0843172332018363,0.5944537815126051,1.0113108619054159,0.6247619047619047
20,1.0395780288471894,0.6094117647058823,1.0061959411984398,0.6390476190476191
21,1.016683032292278,0.6282352941176471,0.9865368248167492,0.6419047619047619
22,1.0140088429170497,0.6230252100840337,0.9723784639721825,0.6419047619047619
23,0.9980150518697851,0.6257142857142857,0.9783414045969645,0.6466666666666666
24,0.9800914639184455,0.6368067226890757,0.9397855142184667,0.6552380952380953
25,0.9686939974993217,0.6421848739495798,0.9501096677780151,0.6580952380952381
26,0.9612271892924269,0.6472268907563026,0.9231490963981265,0.660952380952381
27,0.9394110722902442,0.6522689075630252,0.9430702769188654,0.66
28,0.9593081918684374,0.6428571428571429,0.9291795305978684,0.6666666666666666
29,0.9460844019681466,0.6586554621848739,0.920552605447315,0.6638095238095238
30,0.9528774866536885,0.6532773109243698,0.9287096920467558,0.6676190476190477
