epoch,train_loss,train_accuracy,valid_loss,valid_accuracy
1,3.0786486771527457,0.18218487394957983,1.893753240449088,0.2695238095238095
2,2.0528897329138105,0.23159663865546218,1.767833064397176,0.2876190476190476
3,1.9266040863309588,0.2569747899159664,1.7169216233208067,0.31142857142857144
4,1.871565234520856,0.26957983193277313,1.6565584498360044,0.3419047619047619
5,1.816626548326316,0.28789915966386553,1.6599909051259358,0.3476190476190476
6,1.7749285384186175,0.2949579831932773,1.559822534379505,0.3628571428571429
7,1.7381665681390202,0.31781512605042017,1.5557738444918678,0.35523809523809524
8,1.711226260682114,0.3383193277310924,1.5530299659002396,0.3647619047619048
9,1.6846294708812939,0.3273949579831933,1.5160880670093355,0.4038095238095238
10,1.652412865983338,0.34705882352941175,1.5161392786389305,0.43714285714285717
11,1.623648811909331,0.3631932773109244,1.447967220715114,0.44857142857142857
12,1.5940905052874268,0.38184873949579834,1.4230179768516904,0.44095238095238093
13,1.5583406411098832,0.3915966386554622,1.3596276937212264,0.47714285714285715
14,1.5412356513688543,0.3952941176470588,1.375166441599528,0.4780952380952381
15,1.4974814485101138,0.42067226890756304,1.361896139553615,0.5009523809523809
16,1.4695862567324598,0.4339495798319328,1.2943549049468268,0.5123809523809524
17,1.4527576569148473,0.4472268907563025,1.2836664354233516,0.5247619047619048
18,1.415320506656871,0.45647058823529413,1.237600715728033,0.5466666666666666
19,1.3960990532706765,0.46605042016806725,1.2166621589660644,0.5580952380952381
20,1.3538519313555806,0.4880672268907563,1.2266902991703579,0.5514285714285714
21,1.338923992910305,0.48436974789915965,1.1947951053437733,0.560952380952381
22,1.3112354712526337,0.5070588235294118,1.1707868142355056,0.5847619047619048
23,1.3027647443579025,0.5089075630252101,1.1469484011332194,0.5914285714285714
24,1.2806438446445625,0.5191596638655462,1.125984663282122,0.5923809523809523
25,1.271415405433719,0.5188235294117647,1.1240950364158266,0.5961904761904762
26,1.245526727147463,0.526890756302521,1.1057992496944609,0.5942857142857143
27,1.2417516256781185,0.5339495798319328,1.1050429105758668,0.5895238095238096
28,1.231943771859177,0.5363025210084034,1.0907890079134988,0.6076190476190476
29,1.2300424784572184,0.5321008403361345,1.0870827631723312,0.6028571428571429
30,1.2211072822779168,0.5423529411764706,1.0934059445063273,0.5961904761904762
